energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,music_features,uri
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,string
,,,,,,,,,,,,class,meta
0.62,0.0559,167.141,0.0648,0.0379,1.19e-06,4.0,0.543,8.0,290960.0,-10.629,0.607,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0jHkgTtTaqg5LNCiYDQPUB
0.53,0.06,124.392,0.0601,0.41,7.43e-05,4.0,0.683,2.0,162653.0,-8.542,0.579,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:0oCT5rVvMdPPUm0bxG7yzT
0.799,0.0844,133.731,0.0501,0.0706,0.0,4.0,0.654,0.0,199733.0,-6.92,0.755,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:3Kr9P2blunzFYEKQygbOoP
0.509,0.144,138.317,0.0628,0.6,0.0,4.0,0.527,7.0,515867.0,-10.893,0.497,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:2QgWuCtBpNIpl5trmKCxRf
0.751,0.102,109.099,0.146,0.0618,0.0,4.0,0.569,1.0,230107.0,-9.16,0.768,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:4BpPvEi38kvfLKA1qBBX5J
0.658,0.158,112.107,0.0269,0.0176,0.000352,4.0,0.724,2.0,329147.0,-9.209,0.865,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:42GthmiW6mIvcyaJHdMk30
0.784,0.0421,126.459,0.0611,0.0527,0.0,4.0,0.75,6.0,283827.0,-11.269,0.738,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:1itIRmnzXMhqzDeQofMoxT
0.508,0.132,118.753,0.0395,0.000538,0.00205,4.0,0.467,11.0,234053.0,-13.048,0.772,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:1oojGBUxbMSrvrBnQ1DaBc
0.409,0.101,104.271,0.0273,0.157,9.28e-05,4.0,0.508,11.0,235666.0,-11.184,0.33,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:5pG2aumkvDvvdOoVbMobAU
0.556,0.0726,140.543,0.0622,0.559,0.00281,4.0,0.594,5.0,228867.0,-11.679,0.623,alexeifloyd-3mfgCYESAj3XlbCi8zBcJV,spotify:track:39OPZvxdhToddt29z55Ukv
