energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.786,0.382,146.188,0.0451,0.00186,0.0531,4,0.417,2,298107,-6.092,0.182,0,audio_features,spotify:track:51AjJaDJYIZCq234ycrm2a
0.88,0.0824,92.358,0.0309,9.59e-05,0.00614,4,0.513,7,269533,-4.69,0.495,0,audio_features,spotify:track:60fUDmIWuKhngaeBIVhqIV
0.942,0.349,104.969,0.0487,0.000637,0.00205,4,0.597,2,268583,-4.627,0.503,1,audio_features,spotify:track:7lt4K9LqL1KgBgxl6Ly3Ud
0.863,0.299,134.983,0.0543,1.96e-05,0.000714,4,0.511,10,255222,-7.21,0.565,1,audio_features,spotify:track:5o6z2MBmQ9W1OhEycizdW5
0.792,0.211,89.966,0.0281,0.00297,1.68e-05,4,0.556,7,362093,-5.62,0.269,0,audio_features,spotify:track:3ZXZ9RMsznqgyHnyq0K5FL
0.967,0.0731,75.003,0.136,8.41e-05,0.013,4,0.317,4,312722,-6.128,0.151,0,audio_features,spotify:track:7wrQTNa4QpmntbA8N0IDAn
0.956,0.138,107.979,0.0968,3.59e-06,0.000478,3,0.466,3,300778,-5.452,0.156,1,audio_features,spotify:track:3PwKYa2i1d4rQ0eZUhKQzj
0.858,0.111,90.91,0.0464,0.00348,0.037,4,0.404,11,364640,-6.641,0.248,0,audio_features,spotify:track:2cQkslUQT9nyvmMNTftd4S
0.645,0.138,126.714,0.333,0.0211,5.7e-06,4,0.683,10,182500,-5.03,0.629,1,audio_features,spotify:track:3cxr1nDPXbUgSw2vfHvs2h
0.861,0.585,124.004,0.193,0.00551,0.186,4,0.437,7,349960,-5.655,0.136,0,audio_features,spotify:track:1tXP07p1dsSu7v5kK6DZnu
0.796,0.099,101.247,0.0608,0.00415,0.926,4,0.24,4,387976,-6.029,0.0391,0,audio_features,spotify:track:6mbzP1DCc2wz4DjwJ6AaZT
0.945,0.377,122.025,0.063,2.33e-05,0.864,4,0.489,10,404200,-4.471,0.391,0,audio_features,spotify:track:0JE3kUQokMDdBFL72BYZgW
0.881,0.156,108.009,0.0749,0.000587,0.838,4,0.49,9,257735,-8.703,0.124,0,audio_features,spotify:track:5soMJpcVhSrGrB4prvPL6P
0.988,0.309,172.056,0.0661,4.88e-06,0.835,4,0.309,5,264501,-3.694,0.493,1,audio_features,spotify:track:696eNRIkeGk04kvkiRRY47
0.948,0.346,98.288,0.0446,6.44e-05,0.807,4,0.31,5,259470,-4.208,0.301,0,audio_features,spotify:track:0CLjhpOb402D7U4vqFZCFH
0.905,0.363,134.163,0.0419,9.44e-06,5.4e-05,4,0.438,9,162667,-6.161,0.723,1,audio_features,spotify:track:2V4Bc2I962j7acQj1N0PiQ
0.765,0.111,136.699,0.0589,0.0696,2.57e-06,4,0.516,11,139987,-8.867,0.625,1,audio_features,spotify:track:6CdR5Zu0bpP03XjpNycbaa
0.675,0.0457,121.33,0.0372,0.000293,0.736,4,0.685,3,140480,-5.806,0.874,1,audio_features,spotify:track:53LZqMzQEnjBkFXPqOq0cD
0.96,0.109,126.02,0.07,0.00169,0.000997,4,0.657,5,186067,-3.524,0.567,0,audio_features,spotify:track:5bU4KX47KqtDKKaLM4QCzh
0.896,0.285,79.966,0.0662,0.000108,0.416,4,0.394,11,315987,-5.396,0.239,0,audio_features,spotify:track:6p2iiGV6iIqFdFrPz1Ktbx
0.945,0.309,84.996,0.0695,0.0601,0.0,4,0.599,5,179240,-4.604,0.676,1,audio_features,spotify:track:0R7KP4GlUebdefGw2Sw9eh
0.887,0.166,104.046,0.0991,0.000303,0.0368,4,0.598,10,222667,-5.371,0.384,0,audio_features,spotify:track:1vo1kaYzGxtq5uGVyzos9E
0.911,0.369,183.974,0.056,4.28e-05,0.0,3,0.315,0,193880,-4.136,0.38,0,audio_features,spotify:track:071qZ9lL7h6ULW1WNgQjE3
0.98,0.328,89.967,0.0879,4.21e-06,0.0186,4,0.451,7,205627,-3.734,0.303,1,audio_features,spotify:track:3DypApeEr6V617nb37He9F
0.929,0.389,137.868,0.0638,0.00094,0.000248,4,0.558,2,202307,-3.618,0.502,1,audio_features,spotify:track:78mjaBatbfvwx5KJwI036H
0.898,0.164,149.983,0.0881,0.000228,0.0,4,0.452,0,192387,-6.387,0.251,1,audio_features,spotify:track:1cpkLUS6ZOD7u8AJuD4YUU
0.767,0.0942,94.174,0.0681,0.181,0.000856,4,0.365,9,248053,-6.185,0.422,0,audio_features,spotify:track:6crBy2sODw2HS53xquM6us
0.938,0.48,112.022,0.123,0.00296,0.000852,4,0.623,0,165960,-4.161,0.308,1,audio_features,spotify:track:3pYKJaLiixRcDFfcNhxZKK
0.905,0.142,97.106,0.0653,0.00227,3.29e-06,4,0.495,8,235653,-3.768,0.215,1,audio_features,spotify:track:0KGIbrNYktDXYyHopcDI2L
0.632,0.095,117.887,0.0359,0.223,0.0,4,0.49,10,224107,-3.847,0.19,0,audio_features,spotify:track:4K8KWU9Nd3QCAiAWAKpjjS
0.969,0.371,164.999,0.119,2.87e-05,0.000753,4,0.413,4,200147,-2.599,0.374,0,audio_features,spotify:track:04BSvYghzdxjSJNpee36er
0.96,0.115,153.918,0.0856,7.74e-05,4.34e-06,4,0.43,10,176160,-4.267,0.264,1,audio_features,spotify:track:6znbTbavmg6c6mrWK81GqQ
0.875,0.123,121.467,0.0406,6.42e-05,0.000634,4,0.472,8,226400,-3.508,0.485,0,audio_features,spotify:track:0c1iL21nLuQNZTWiijOZUG
0.95,0.413,140.071,0.161,0.012,1.91e-06,4,0.534,9,207587,-2.712,0.527,0,audio_features,spotify:track:308BpHy6evPQz9hSPpSLNf
0.667,0.229,113.018,0.0285,0.000984,0.027,4,0.503,11,245573,-6.831,0.101,0,audio_features,spotify:track:71KtwiEpzcn9WxwlaS7ZJY
0.891,0.344,155.967,0.0452,8.93e-05,0.0,4,0.382,7,239213,-2.148,0.443,1,audio_features,spotify:track:71xXyCmzYGQS1B6eF6U0pg
0.87,0.348,155.925,0.0537,0.00027,1.77e-05,4,0.415,9,236267,-3.552,0.264,0,audio_features,spotify:track:31B9r2N9vAqhHciZanfucd
0.923,0.0689,144.0,0.0593,1.6e-05,0.00714,4,0.485,0,261507,-4.44,0.394,1,audio_features,spotify:track:5SAL0TJDz3EXn4ByipLndJ
0.918,0.209,104.023,0.038,0.000131,0.00324,4,0.54,4,263987,-5.389,0.694,0,audio_features,spotify:track:6ubp7SmSZDkJiII5F6jQCc
0.982,0.0539,131.895,0.287,0.000165,2.32e-06,4,0.448,9,299820,-3.971,0.0978,0,audio_features,spotify:track:76AYOdnKWcSLviCsKDXyS1
