energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.677,0.19,133.901,0.225,0.853,0.868,4,0.658,5,179253,-8.827,0.555,0,audio_features,spotify:track:50suwgKkUBXSfhvrQtX2Fa
0.371,0.654,76.772,0.0397,0.99,0.816,4,0.241,5,49320,-10.043,0.125,0,audio_features,spotify:track:45nSdb4fkmwW0cfWmVJ1lG
0.154,0.0995,93.056,0.0316,0.993,0.17,4,0.326,10,130627,-14.34,0.135,1,audio_features,spotify:track:2D3Frv9jPTXWfXSUoFOtX8
0.485,0.0767,96.161,0.108,0.954,0.883,4,0.714,6,188080,-11.208,0.719,0,audio_features,spotify:track:2Ibp2T7wsxByD5VXxa2ALU
0.631,0.133,174.121,0.101,0.878,0.84,4,0.575,1,228333,-6.018,0.837,1,audio_features,spotify:track:2Ma90CK6booKcQ6TeIHzMb
0.13,0.123,136.31,0.0613,0.994,0.825,3,0.384,5,110987,-16.578,0.128,1,audio_features,spotify:track:5MZgYbUWbQ5roS9xvjzsG2
0.684,0.097,115.98,0.587,0.935,0.0362,4,0.67,0,182987,-7.719,0.867,0,audio_features,spotify:track:6qGfNa3WKsGmGaDNsiAJFC
0.495,0.294,153.462,0.157,0.966,0.535,4,0.615,5,183387,-7.981,0.723,0,audio_features,spotify:track:3lBAH5Mxn4kNpO9twmrtzK
0.198,0.124,83.005,0.0377,0.991,0.804,1,0.345,10,104160,-14.817,0.155,0,audio_features,spotify:track:5GaABszZSAyiqh4ahUPPQj
0.388,0.172,145.779,0.134,0.956,0.81,4,0.612,6,177547,-9.774,0.34,0,audio_features,spotify:track:2N5ZfEDmkqE2hXJnQDDt0q
0.247,0.0627,82.896,0.106,0.992,0.238,4,0.503,2,200027,-13.215,0.536,1,audio_features,spotify:track:1p7nBtOm4P9c2TsXfRDHm4
0.207,0.117,128.345,0.0371,0.992,0.857,4,0.316,5,207373,-15.256,0.125,0,audio_features,spotify:track:6bOrcBKby2D59c0ftWSDk6
0.372,0.261,164.516,0.0778,0.948,0.806,4,0.64,1,259267,-9.31,0.562,1,audio_features,spotify:track:0mo7j09xWfCjBCevutyH2R
0.263,0.106,147.054,0.114,0.984,0.0047,4,0.599,2,206520,-12.674,0.731,0,audio_features,spotify:track:4dacJwnzwCNR5ydJxharG8
0.326,0.138,180.462,0.0443,0.933,0.0,4,0.554,7,191533,-9.741,0.88,1,audio_features,spotify:track:1aLwVOcUWZkubLgAI9lWCR
0.814,0.22,172.437,0.0728,0.724,0.531,4,0.494,6,190933,-10.758,0.702,0,audio_features,spotify:track:09PJUTd3W1nY3R87PohRrl
0.422,0.0415,203.484,0.0909,0.805,0.00056,4,0.599,7,145867,-10.788,0.962,0,audio_features,spotify:track:7t65chIeXUZYw0rEGS18xH
0.176,0.421,82.415,0.0336,0.967,0.92,3,0.521,10,201627,-11.659,0.383,0,audio_features,spotify:track:7wf9o2amx1RMciEKhybdJ7
0.35,0.112,131.638,0.0332,0.928,0.014,4,0.723,6,195733,-8.732,0.77,1,audio_features,spotify:track:5EajJ6RaVIdCaHPILDzN4P
0.244,0.104,146.72,0.167,0.803,0.813,4,0.715,1,193200,-12.787,0.571,1,audio_features,spotify:track:24sRYO0ooSbyUFZbmSaxtS
0.583,0.111,94.465,0.246,0.822,0.926,4,0.67,1,169307,-12.042,0.658,1,audio_features,spotify:track:26Te8c8OFcfyeakpYAdSDG
0.231,0.119,132.712,0.0354,0.948,0.826,4,0.753,8,192933,-10.554,0.746,1,audio_features,spotify:track:1cKX5aHf6GMmleIhaHBQlB
0.291,0.452,148.288,0.13,0.981,0.00304,4,0.575,2,203760,-14.085,0.692,0,audio_features,spotify:track:2Yg5nrdnUIYnYYr5dWWf7D
0.397,0.0753,184.58,0.0359,0.962,0.875,4,0.472,10,198173,-10.891,0.885,1,audio_features,spotify:track:54joOSY0Q9ViiqoqqgSXeY
0.112,0.152,113.228,0.0366,0.941,0.742,4,0.744,10,205760,-14.553,0.502,1,audio_features,spotify:track:7s4zoj1fGb0ILMPntvqx1O
0.206,0.164,78.64,0.0275,0.834,0.646,4,0.33,3,202267,-10.195,0.325,1,audio_features,spotify:track:1cYkoIktMDyKo23DjLJlBa
0.8,0.06,134.517,0.151,0.547,0.86,4,0.496,0,121667,-9.371,0.376,1,audio_features,spotify:track:4IX0Kpx7yqfYJFeld8j7MM
0.171,0.24,78.389,0.0305,0.845,0.0195,4,0.268,0,216840,-13.703,0.365,0,audio_features,spotify:track:0lK1nLwGn0OfEL7UjBJSEb
0.749,0.902,141.764,0.0615,0.812,0.911,4,0.461,3,177000,-10.653,0.71,1,audio_features,spotify:track:0f4Mla9iI9KdXmYtcaTImx
0.197,0.24,133.255,0.0335,0.952,0.00626,4,0.339,0,205827,-12.263,0.247,0,audio_features,spotify:track:6e8fOWGZqOiUtwYML7dJ0l
0.191,0.132,133.902,0.0588,0.729,0.517,4,0.734,8,172773,-11.79,0.703,1,audio_features,spotify:track:5lU5xscwNyFcG9rO5RGcld
0.37,0.112,88.294,0.187,0.91,0.000876,4,0.716,10,184027,-12.61,0.637,1,audio_features,spotify:track:76m9I54xpnAVUmDRGGLJ8e
0.224,0.3,161.208,0.132,0.927,0.000819,4,0.491,11,185707,-10.969,0.598,0,audio_features,spotify:track:6N9tPoFfQOlnvxEJKUQ0HB
0.194,0.188,117.986,0.0371,0.581,0.965,4,0.255,8,136800,-16.424,0.177,1,audio_features,spotify:track:5duvXAmFLQh8dyD5zO9Z3R
0.258,0.193,110.064,0.0328,0.956,0.031,4,0.477,10,258160,-13.693,0.225,0,audio_features,spotify:track:51BfVxH0QfxTpFgZMMbhwK
0.5,0.207,128.405,0.0456,0.396,0.0,4,0.459,7,285267,-11.714,0.56,0,audio_features,spotify:track:70cjoLJlShXJxeIFDyX1X0
0.381,0.0898,88.527,0.039,0.982,0.899,4,0.589,1,183427,-8.643,0.719,1,audio_features,spotify:track:4chJaUZoIiwVGqoJ0ooVxL
0.382,0.397,123.147,0.0452,0.564,0.000242,4,0.499,7,268840,-13.989,0.502,1,audio_features,spotify:track:5Rwys0gD20KyzHHEy4HdHW
0.14,0.572,140.092,0.0476,0.948,0.294,4,0.496,5,185086,-11.041,0.536,1,audio_features,spotify:track:5gI059YanPLehqypNsGkKb
0.172,0.152,114.94,0.0398,0.984,0.679,4,0.554,3,210960,-16.517,0.53,1,audio_features,spotify:track:6LSdh6XSUD8YXsgEcQNnBP
0.0428,0.108,90.43,0.0507,0.91,0.00393,4,0.787,6,185280,-18.599,0.144,1,audio_features,spotify:track:5vK71NbdhFBicopZ779VQk
0.376,0.24,191.92,0.065,0.91,0.807,1,0.269,1,70613,-17.368,0.0385,1,audio_features,spotify:track:5wNc3thnbrTfOyQtc0TP3W
0.451,0.0524,119.318,0.0898,0.824,0.828,4,0.85,11,175947,-12.849,0.849,1,audio_features,spotify:track:4h0SSw8betoj6o0zYzlI83
0.9,0.0772,114.973,0.232,0.653,0.749,4,0.547,0,249947,-8.239,0.211,1,audio_features,spotify:track:6Jo5ydoMPT1zHF8EYhC1Zd
0.126,0.171,94.826,0.0437,0.992,0.796,4,0.456,8,190267,-17.586,0.38,1,audio_features,spotify:track:6CzrOUxSoqVwVYvuXKISTQ
0.0498,0.182,94.837,0.0346,0.993,0.816,4,0.481,4,193613,-27.021,0.561,1,audio_features,spotify:track:3bh0rFSbiNR2rICeLtHpe4
0.361,0.116,126.428,0.232,0.994,0.712,4,0.731,4,187627,-16.655,0.905,0,audio_features,spotify:track:3VVdi0A6t53eAejwQVIMtq
0.171,0.114,83.879,0.0511,0.994,0.844,4,0.452,5,199947,-15.843,0.271,1,audio_features,spotify:track:20WVs2m8w5ZqovPWEQj63F
0.231,0.143,86.25,0.0415,0.909,0.317,4,0.399,10,256187,-13.501,0.368,1,audio_features,spotify:track:6rgm9VX1lPcAQZqQKE2MBv
0.454,0.0715,111.464,0.385,0.962,0.851,4,0.741,5,182280,-13.184,0.899,1,audio_features,spotify:track:5uCIN5V3OfRdzVImUdDHhj
0.175,0.102,106.897,0.0401,0.846,0.804,4,0.699,3,185600,-13.523,0.664,1,audio_features,spotify:track:0aH6zxJMqioIe3GJXmjotF
0.396,0.102,81.624,0.113,0.812,0.0815,4,0.377,10,227960,-12.779,0.44,0,audio_features,spotify:track:3liIo5CT5OpFLIHNrEsoxf
0.372,0.109,135.281,0.0545,0.83,0.887,4,0.7,10,215947,-11.895,0.687,1,audio_features,spotify:track:1gLIo4nenZW0EKdN6w2vEl
0.0612,0.113,98.087,0.0391,0.994,0.937,4,0.664,5,183600,-18.207,0.44,0,audio_features,spotify:track:2HlOi83giY0Q7i2SO3k4Aa
0.206,0.105,106.876,0.0706,0.979,0.915,4,0.551,0,164933,-20.359,0.613,1,audio_features,spotify:track:38kY7CxpQX3kebykaJfkQ6
0.117,0.0789,107.145,0.154,0.955,0.788,4,0.758,11,166280,-18.244,0.723,1,audio_features,spotify:track:7vu5DEUJypq7bAFQrovitU
0.14,0.126,89.567,0.0326,0.985,0.527,4,0.528,0,174947,-14.657,0.413,0,audio_features,spotify:track:7E8x1Vciv6ccFRQUMtKMvU
0.0443,0.109,81.398,0.0357,0.989,0.951,4,0.444,10,206947,-21.442,0.159,0,audio_features,spotify:track:3Uk15eiNy2N1g5550xYsea
0.426,0.142,100.499,0.132,0.899,0.873,4,0.78,7,175613,-11.978,0.859,0,audio_features,spotify:track:7nF2HqRowzvVyEGqE8lj2w
